incident_id,posted_on,incident_date,call_type,title_line,location,city,page_url
WA25210961,"Thursday September 11, 11pm","Monday August 18, 1pm",Theft,WA25210961 - 9790-THEFT UNDER $5000,"KING ST W, KITCHENER",Kitchener,https://wrps.ca/news/incidents
WA25210926,"Thursday September 11, 11pm","Monday August 18, 12pm",Theft,WA25210926 - 9790-THEFT UNDER $5000,"KING ST W, KITCHENER",Kitchener,https://wrps.ca/news/incidents
WA25210878,"Thursday September 11, 11pm","Monday August 18, 11am",Theft,WA25210878 - 9790-THEFT UNDER $5000,"ERB ST W, WATERLOO",Waterloo,https://wrps.ca/news/incidents
WA25210739,"Thursday September 11, 6pm","Monday August 18, 9am",Theft,WA25210739 - 9790-THEFT UNDER $5000,"OTTAWA ST S, KITCHENER",Kitchener,https://wrps.ca/news/incidents
WA25210737,"Thursday September 11, 9pm","Monday August 18, 9am",Theft,WA25210737 - 9790-THEFT UNDER $5000,"ERB ST W, WATERLOO",Waterloo,https://wrps.ca/news/incidents
WA25210608,"Saturday September 13, 12pm","Monday August 18, 1am",Property Damage,WA25210608 - 9180-PROPERTY DAMAGE,"INDIAN RD, KITCHENER",Kitchener,https://wrps.ca/news/incidents?page=1
WA25210575,"Thursday September 11, 1pm","Monday August 18, 12am",Offensive Weapon,WA25210575 - 9170-OFFENSIVE WEAPON,"OLD COUNTRY PL, KITCHENER",Kitchener,https://wrps.ca/news/incidents?page=1
WA25210544,"Thursday September 11, 3pm","Sunday August 17, 11pm",Disturbance,WA25210544 - 9300-DISTURBANCE,"VANIER DR, KITCHENER",Kitchener,https://wrps.ca/news/incidents?page=1
WA25210485,"Thursday September 11, 2pm","Sunday August 17, 9pm",Property Damage,WA25210485 - 9180-PROPERTY DAMAGE,"CHARLES ST E, KITCHENER",Kitchener,https://wrps.ca/news/incidents?page=1
WA25210404,"Saturday September 13, 11am","Sunday August 17, 8pm",Property Damage,WA25210404 - 9180-PROPERTY DAMAGE,"WEBER ST E, KITCHENER",Kitchener,https://wrps.ca/news/incidents?page=1
